id,title,description,availability,condition,price,sale_price,link,image_link,brand,item_group_id,color,size,material,product_type,additional_image_link,mpn,gender,age_group
"6f177adc-364b-481a-ab9f-44420776a147","Green Linen Shirt - Green / L","Green Linen Shirt","in stock","new","1299.00 INR","1104.00 INR","https://khadivasthra.com/product/green-linen-shirt/?color=Green&size=L","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/green-linen-shirt-color/1775056605743.png","Khadi Vasthra","38ee7e69-6b14-41c9-9146-94b15d6afec1","Green","L","100% Linen"," Shirts","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774782585511.png,https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774782591848.png","KV-GREEN--GRE-L","unisex","adult"
"3b41cae8-172d-4110-9f27-f236baac8302","Orange Mughal Print Set Mundu","Orange Mughal Print Set Mundu","in stock","new","1340.00 INR","1072.00 INR","https://khadivasthra.com/product/orange-mughal-print-set-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785421423396.png","Khadi Vasthra","","","","100% Cotton"," Set-Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785421427968.png","","female","adult"
"3b57a6f8-df93-4f19-8bdb-87ec65d21ece","Orange  and Green Flower Borderless Printed Set Mundu(Womens Wear)","Offwhite Cotton Body with Green and Orange colour screen Printed SetMundu","in stock","new","920.00 INR","736.00 INR","https://khadivasthra.com/product/orange-and-green-flower-borderless-printed-set-mundu-womens-wear/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785421642518.png","Khadi Vasthra","","","","100% Cotton"," Set-Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785421646075.png","","female","adult"
"3cbd6f7f-8878-4048-90e2-e759c643af57","Blue Lotus Print kasavu border Set Saree","Blue Lotus Print kasavu border Set Saree","in stock","new","980.00 INR","784.00 INR","https://khadivasthra.com/product/blue-lotus-print-kasavu-border-set-saree/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785421110555.png","Khadi Vasthra","","","","100% Cotton","Set Saree","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785421119349.png","","female","adult"
"3e09afd2-8d7f-47c1-b82b-a8ecabe9cd84","Violet Aanathari Set Saree","Cotton Set Saree with Screen Print","in stock","new","1950.00 INR","1560.00 INR","https://khadivasthra.com/product/violet-aanathari-set-saree/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785420200783.png","Khadi Vasthra","","","","100% Cotton","Set Saree","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785420204875.png","","female","adult"
"3e1f5c5b-5853-4679-99d7-e066d5a38a7a","Green Geometric Print Single White Mundu","Green Geometric Print Single White Mundu","in stock","new","450.00 INR","405.00 INR","https://khadivasthra.com/product/green-geometric-print-single-white-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774868644484.jpg","Khadi Vasthra","","","","100% Cotton","Printed Mundu","","","unisex","adult"
"40585b28-c060-4054-91c3-d21977c7cbbc","Milky White Single Mundu","Milky White Single Mundu","in stock","new","440.00 INR","374.00 INR","https://khadivasthra.com/product/milky-white-single-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1784217237055.png","Khadi Vasthra","","","","100% Cotton","Single Mundu","","","unisex","adult"
"4396ad53-d741-4deb-b035-976c1687abb3","Varna Kudamattam Premium Set Saree","Cotton Set Saree with Kasavu Border , With Embroidery and Hand Painting","in stock","new","1980.00 INR","1584.00 INR","https://khadivasthra.com/product/varna-kudamattam-premium-set-saree/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785419918732.png","Khadi Vasthra","","","","100% Cotton","Set Saree","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785419924414.png,https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785419926003.png,https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785419928574.png","","female","adult"
"43bb295f-b281-4e82-acd6-a4c5a53180d8","Light Grey and Silver Kara Handloom Cream Colour Mundu","Light Grey and Silver Kara Handloom Cream Colour Mundu","in stock","new","1485.00 INR","1337.00 INR","https://khadivasthra.com/product/light-grey-and-silver-kara-handloom-cream-colour-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776681617573.jpg","Khadi Vasthra","","","","100% Cotton","Offwhite Double Mundu(4 Mtr)","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776681621239.jpg","","unisex","adult"
"1db54e38-85a6-41e6-85c3-3a543e61b090","Violet Thick Garden  - Violet / 2M","Violet Thick Garden","in stock","new","1800.00 INR","1260.00 INR","https://khadivasthra.com/product/violet-thick-garden/?color=Violet&size=2M","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/violet-thick-garden-color/1785843055678.png","Khadi Vasthra","44331fc1-16d8-4b9a-b81b-300e5411700d","Violet","2M","100% Cotton"," Set-Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/violet-thick-garden-color/1785843056799.png,https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/violet-thick-garden-color/1785843057671.png,https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785842975146.png,https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785842979720.png","KV-VIOLET-VIO-2M","female","adult"
"cf3812e3-ebdc-48c9-a847-d760e7e775b8","Violet Thick Garden  - Red / 2M","Violet Thick Garden","in stock","new","1800.00 INR","1260.00 INR","https://khadivasthra.com/product/violet-thick-garden/?color=Red&size=2M","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/violet-thick-garden-color/1785843084404.png","Khadi Vasthra","44331fc1-16d8-4b9a-b81b-300e5411700d","Red","2M","100% Cotton"," Set-Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/violet-thick-garden-color/1785843085499.png,https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785842975146.png,https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785842979720.png","KV-VIOLET-RED-2M","female","adult"
"d4cb1f5b-456c-4d60-ba5e-5e329e2f8996","Pastel PinkColour Half Sleeve Khadi Shirt - Pink / M","Purple Colour Half Sleeve Khadi Shirt","in stock","new","1050.00 INR","945.00 INR","https://khadivasthra.com/product/pastel-pinkcolour-half-sleeve-khadi-shirt/?color=Pink&size=M","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/purple-colour-half-sleeve-khadi-shirt-color/1774978986862.png","Khadi Vasthra","4576d1fa-b42a-4233-8ed8-d79cee3fa5a6","Pink","M","100% Cotton"," Shirts","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/pastel-pinkcolour-half-sleeve-khadi-shirt/1775063102383.png","KV-PASTEL-PIN-M","unisex","adult"
"47fcb00d-a53b-4255-a991-8d5c1bb619f7","Yellow and Silver Kara Offwhite Double Mundu","Yellow and Silver Kara Offwhite Double Mundu","in stock","new","1485.00 INR","1337.00 INR","https://khadivasthra.com/product/yellow-and-silver-kara-offwhite-double-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776681704988.jpg","Khadi Vasthra","","","","100% Cotton","Offwhite Double Mundu(4 Mtr)","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776681708940.jpg","","unisex","adult"
"4812faae-6a18-427f-a04c-a94911920170","Dark Green Khaid Cotton Shirt Bite(2 Mtr)","KHADI COTTON – SHIRT BIT * 100% Pure Khadi Cotton * 2 Metres Length * 58 Inch Width * Suitable for Half-Sleeve & Full-Sleeve Shirts * Lightweight & Breathable * Natural Khadi Texture & Finish *Pre-wash Before Stitching to account for natural shrinkage","in stock","new","540.00 INR","432.00 INR","https://khadivasthra.com/product/dark-green-khaid-cotton-shirt-bite-2-mtr/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789643610179.png","Khadi Vasthra","","","","100% cotton","Shirt Bit","","","unisex","adult"
"493e2c00-1b3c-4530-b7d7-7b4ff0d19145","Dark Green and Line Khadi Cotton Shirt Bit (2Mtr)","Dark Green and Line Khadi Cotton Shirt Bit (2Mtr)","in stock","new","540.00 INR","486.00 INR","https://khadivasthra.com/product/dark-green-and-line-khadi-cotton-shirt-bit-2mtr/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789645845021.png","Khadi Vasthra","","","","100% Cotton","Shirt Bit","","","unisex","adult"
"4da4773d-d1c0-4c6e-ba0e-e14cdddbb864","Brown Single Lungi (2M)","Brown Single Lungi (2M)","in stock","new","360.00 INR","324.00 INR","https://khadivasthra.com/product/brown-single-lungi-2m/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1786819232044.png","Khadi Vasthra","","","","100% Cotton","Single Mundu","","","unisex","adult"
"543baa0f-b5bf-4186-955d-3bccd18de334","Sky Blue Khadi Cotton Shirt Bit(2mtr)","KHADI COTTON – SHIRT BIT * 100% Pure Khadi Cotton * 2 Metres Length * 58 Inch Width * Suitable for Half-Sleeve & Full-Sleeve Shirts * Lightweight & Breathable * Natural Khadi Texture & Finish *Pre-wash Before Stitching to account for natural shrinkage","in stock","new","540.00 INR","486.00 INR","https://khadivasthra.com/product/sky-blue-khadi-cotton-shirt-bit-2mtr/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789646454374.png","Khadi Vasthra","","","","100% Cotton","Shirt Bit","","","unisex","adult"
"54961857-bd3f-4843-93ce-edfcbc183dca","Violet Khadi Cotton 2 Mtr ","KHADI COTTON – SHIRT BIT * 100% Pure Khadi Cotton * 2 Metres Length * 58 Inch Width * Suitable for Half-Sleeve & Full-Sleeve Shirts * Lightweight & Breathable * Natural Khadi Texture & Finish *Pre-wash Before Stitching to account for natural shrinkage","in stock","new","540.00 INR","486.00 INR","https://khadivasthra.com/product/violet-khadi-cotton-2-mtr/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789642602126.png","Khadi Vasthra","","","","100% Cotton","Shirt Bit","","","unisex","adult"
"54dd3352-1ce9-4b76-96b5-b405d92a4152","Baby Violet Border Double (4M) Mundu","Baby Violet Border Double (4M) Mundu","in stock","new","1195.00 INR","956.00 INR","https://khadivasthra.com/product/baby-violet-border-double-4m-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1786188765322.png","Khadi Vasthra","","","","100% Cotton","Offwhite Double Mundu(4 Mtr)","","","unisex","adult"
"54e7ee26-c71f-4429-9408-8ad51923326a","Aqua blue and Golden Kara Setu Mundu (Women's Wear)","Aqua blue and Golden Kara Setu Mundu (Women's Wear)","out of stock","new","950.00 INR","855.00 INR","https://khadivasthra.com/product/aqua-blue-and-golden-kara-setu-mundu-women-s-wear/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774639353724.jpg","Khadi Vasthra","","","","Poly-Cotton"," Set-Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774639358009.jpg","","female","adult"
"55eb9572-3402-42c1-92cd-5dc1aacad71c","Green Blue Border Korva Kodi Colour Mundu ","Green Blue Border Korva Kodi Colour Mundu","out of stock","new","390.00 INR","312.00 INR","https://khadivasthra.com/product/green-blue-border-korva-kodi-colour-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1784216686481.png","Khadi Vasthra","","","","Cotton Mix","Single Mundu","","","unisex","adult"
"5b29fd08-afef-4eaa-b9e6-94a35239d926","Blue Colour SIngle Lungi(2 M)","Blue Colour SIngle Lungi(2 M)","in stock","new","400.00 INR","360.00 INR","https://khadivasthra.com/product/blue-colour-single-lungi-2-m/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1786818932658.png","Khadi Vasthra","","","","","Single Mundu","","","unisex","adult"
"5b453fcc-d2c9-43ce-8455-b48a0542fca7","Red and Golden Veethikara Set-Mundu(women's wear)","Red and Golden Veethikara Set-Mundu(women's wear)","in stock","new","1020.00 INR","867.00 INR","https://khadivasthra.com/product/red-and-golden-veethikara-set-mundu-women-s-wear-2/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774717602853.jpg","Khadi Vasthra","","","","Poly-Cotton"," Set-Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1774717608577.jpg","","female","adult"
"5c6e2387-4e92-44a1-94fa-0009321c791c","2 Mtr Shirt Bit","KHADI COTTON – SHIRT BIT * 100% Pure Khadi Cotton * 2 Metres Length * 58 Inch Width * Suitable for Half-Sleeve & Full-Sleeve Shirts * Lightweight & Breathable * Natural Khadi Texture & Finish *Pre-wash Before Stitching to account for natural shrinkage","in stock","new","540.00 INR","486.00 INR","https://khadivasthra.com/product/2-mtr-shirt-bit/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789646350922.png","Khadi Vasthra","","","","100% cotton","Shirt Bit","","","unisex","adult"
"5cc28a3d-0a28-4224-bd77-31bcc1edf440","2 Mtre Cotton Shirt Bite ","KHADI COTTON – SHIRT BIT *100% Pure Khadi Cotton * 2 Metres Length * 58 Inch Width * Suitable for Half-Sleeve & Full-Sleeve Shirts *Lightweight & Breathable * Natural Khadi Texture & Finish *Pre-wash Before Stitching to account for natural shrinkage","in stock","new","540.00 INR","486.00 INR","https://khadivasthra.com/product/2-mtre-cotton-shirt-bite/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789642140805.png","Khadi Vasthra","","","","100% Cotton","Shirt Bit","","","unisex","adult"
"63664146-b1e4-491f-8bc5-43dac43df6f8","Black Cotton  Shirt Bite","### **KHADI COTTON – SHIRT BIT** * **100% Pure Khadi Cotton** * **2 Metres Length** * **58 Inch Width** * Suitable for **Half-Sleeve & Full-Sleeve Shirts** * **Lightweight & Breathable** * Natural **Khadi Texture & Finish** * **Pre-wash Before Stitching** to account for natural shrinkage","in stock","new","540.00 INR","486.00 INR","https://khadivasthra.com/product/black-cotton-shirt-bite/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1789642403758.png","Khadi Vasthra","","","","100% Cotton","Shirt Bit","","","unisex","adult"
